reading frame: 416.524526 ms	encoding took: 22.709142 ms	streaming took: 9180.624431 ms
reading frame: 1.453817 ms	encoding took: 5.229340 ms	streaming took: 925.983186 ms
reading frame: 1.300005 ms	encoding took: 5.444632 ms	streaming took: 20.274239 ms
reading frame: 1.244561 ms	encoding took: 7.689941 ms	streaming took: 23.055910 ms
reading frame: 1.185840 ms	encoding took: 9.214570 ms	streaming took: 4.190096 ms
reading frame: 4.683162 ms	encoding took: 8.140628 ms	streaming took: 1.116134 ms
reading frame: 1.097566 ms	encoding took: 8.641251 ms	streaming took: 2.270597 ms
reading frame: 1.065467 ms	encoding took: 7.660314 ms	streaming took: 4.523228 ms
reading frame: 1.891106 ms	encoding took: 8.982066 ms	streaming took: 2.781217 ms
reading frame: 12.938308 ms	encoding took: 5.835580 ms	streaming took: 0.084286 ms
reading frame: 26.456072 ms	encoding took: 6.151984 ms	streaming took: 0.117828 ms
reading frame: 29.635679 ms	encoding took: 6.403282 ms	streaming took: 0.094232 ms
reading frame: 25.296102 ms	encoding took: 6.516279 ms	streaming took: 0.105514 ms
reading frame: 30.045455 ms	encoding took: 5.447389 ms	streaming took: 0.118916 ms
reading frame: 25.599613 ms	encoding took: 5.639346 ms	streaming took: 0.106599 ms
reading frame: 30.266616 ms	encoding took: 6.679861 ms	streaming took: 0.127493 ms
reading frame: 25.858953 ms	encoding took: 5.457719 ms	streaming took: 0.105838 ms
reading frame: 30.001444 ms	encoding took: 5.422157 ms	streaming took: 0.095112 ms
reading frame: 26.040438 ms	encoding took: 5.774207 ms	streaming took: 0.107487 ms
reading frame: 30.236242 ms	encoding took: 5.414588 ms	streaming took: 0.102970 ms
reading frame: 26.492238 ms	encoding took: 5.318741 ms	streaming took: 0.104084 ms
reading frame: 30.356438 ms	encoding took: 5.871678 ms	streaming took: 0.111490 ms
reading frame: 26.049399 ms	encoding took: 5.485267 ms	streaming took: 0.086750 ms
reading frame: 30.351029 ms	encoding took: 5.214394 ms	streaming took: 0.109456 ms
reading frame: 26.721324 ms	encoding took: 5.821033 ms	streaming took: 0.114181 ms
reading frame: 29.916982 ms	encoding took: 6.257064 ms	streaming took: 0.097123 ms
reading frame: 25.530361 ms	encoding took: 5.378647 ms	streaming took: 0.104620 ms
reading frame: 30.636852 ms	encoding took: 5.428037 ms	streaming took: 0.082538 ms
reading frame: 26.332639 ms	encoding took: 5.239601 ms	streaming took: 0.114012 ms
reading frame: 30.597571 ms	encoding took: 5.531869 ms	streaming took: 0.116254 ms
reading frame: 26.328721 ms	encoding took: 6.079784 ms	streaming took: 0.102499 ms
reading frame: 29.626263 ms	encoding took: 5.650128 ms	streaming took: 0.106542 ms
reading frame: 26.308271 ms	encoding took: 5.630285 ms	streaming took: 0.116508 ms
reading frame: 30.206302 ms	encoding took: 5.455416 ms	streaming took: 0.095622 ms
reading frame: 26.525568 ms	encoding took: 5.619347 ms	streaming took: 0.093751 ms
reading frame: 30.014890 ms	encoding took: 5.706088 ms	streaming took: 0.098237 ms
reading frame: 26.283057 ms	encoding took: 5.547141 ms	streaming took: 0.104923 ms
reading frame: 30.357718 ms	encoding took: 5.884105 ms	streaming took: 0.085981 ms
reading frame: 25.817482 ms	encoding took: 5.676461 ms	streaming took: 0.097671 ms
reading frame: 30.399002 ms	encoding took: 5.545303 ms	streaming took: 0.105886 ms
reading frame: 26.286128 ms	encoding took: 5.629858 ms	streaming took: 0.095879 ms
reading frame: 30.865203 ms	encoding took: 5.377441 ms	streaming took: 0.099261 ms
reading frame: 25.856669 ms	encoding took: 5.530670 ms	streaming took: 0.088537 ms
reading frame: 30.329854 ms	encoding took: 5.292538 ms	streaming took: 0.089040 ms
reading frame: 26.552308 ms	encoding took: 5.491741 ms	streaming took: 0.096365 ms
reading frame: 26.468147 ms	encoding took: 5.576842 ms	streaming took: 0.085134 ms
reading frame: 30.350805 ms	encoding took: 5.410531 ms	streaming took: 0.092212 ms
reading frame: 26.295036 ms	encoding took: 5.509412 ms	streaming took: 0.091380 ms
reading frame: 30.301846 ms	encoding took: 5.416860 ms	streaming took: 0.087047 ms
reading frame: 26.568163 ms	encoding took: 5.521030 ms	streaming took: 0.098304 ms
reading frame: 29.930290 ms	encoding took: 5.318028 ms	streaming took: 0.105943 ms
reading frame: 26.861947 ms	encoding took: 5.369228 ms	streaming took: 0.089351 ms
reading frame: 30.240300 ms	encoding took: 5.385781 ms	streaming took: 0.131587 ms
reading frame: 26.756236 ms	encoding took: 5.294516 ms	streaming took: 0.096412 ms
reading frame: 30.119426 ms	encoding took: 6.083744 ms	streaming took: 0.093912 ms
reading frame: 25.868284 ms	encoding took: 5.600482 ms	streaming took: 0.102317 ms
reading frame: 30.274085 ms	encoding took: 6.733557 ms	streaming took: 0.111678 ms
reading frame: 25.058114 ms	encoding took: 6.230113 ms	streaming took: 0.136441 ms
reading frame: 29.552647 ms	encoding took: 6.844082 ms	streaming took: 0.136232 ms
reading frame: 24.937202 ms	encoding took: 5.501268 ms	streaming took: 0.100575 ms
reading frame: 30.420246 ms	encoding took: 6.733151 ms	streaming took: 0.122803 ms
reading frame: 25.232203 ms	encoding took: 5.955226 ms	streaming took: 0.124215 ms
reading frame: 30.093995 ms	encoding took: 5.457672 ms	streaming took: 0.090154 ms
reading frame: 26.272504 ms	encoding took: 6.872346 ms	streaming took: 0.127740 ms
reading frame: 29.096668 ms	encoding took: 5.572886 ms	streaming took: 0.109310 ms
reading frame: 26.163889 ms	encoding took: 5.416996 ms	streaming took: 0.089542 ms
reading frame: 30.698395 ms	encoding took: 5.607087 ms	streaming took: 0.117275 ms
reading frame: 26.175607 ms	encoding took: 5.872857 ms	streaming took: 0.128032 ms
reading frame: 30.135349 ms	encoding took: 6.532170 ms	streaming took: 0.106008 ms
reading frame: 25.625712 ms	encoding took: 7.800973 ms	streaming took: 0.148811 ms
reading frame: 27.270770 ms	encoding took: 5.507612 ms	streaming took: 0.128729 ms
